dataset,model,run_count,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,training_seconds_mean,training_seconds_std,inference_seconds_mean,inference_seconds_std
BATADAL,automata,1,0.8271144278606966,0.0,0.2389380530973451,0.0,0.3375,0.0,0.2797927461139896,0.0,0.6095735497237569,0.0,0.1500415424408749,0.0,0.7555458000279032,0.0,0.076374800002668,0.0
BATADAL,gru,5,0.8889440993788821,0.02408144302790832,0.03714285714285714,0.08305395344999218,0.0325,0.07267220926874317,0.034666666666666665,0.0775170232199927,0.9327965517241379,0.05748207909740464,0.514388066745215,0.21486221102758077,2.2950834999966903,0.3610581148654868,0.02482811999507242,0.0037674963202096083
BATADAL,cnn1d,5,0.8807453416149068,0.01490683229813664,0.0,0.0,0.0,0.0,0.0,0.0,0.1137931034482758,0.042499270819792066,0.0555991087973571,0.0021706408130770464,2.1150410400063264,0.06039141599032036,0.030548440007260043,0.003238899938316736
BATADAL,lstm,5,0.8946583850931678,0.006047533637087257,0.0,0.0,0.0,0.0,0.0,0.0,0.9582379310344826,0.033466219857961936,0.6111336333064439,0.1750286406232869,2.616526499995962,0.5717360092175073,0.02748550000251266,0.0026860714687831303
SKAB,gru,25,0.9172246640089896,0.03506589913285168,0.9487104972351517,0.06380072560149422,0.820434456740555,0.0920663543302209,0.8753423349301986,0.055846401329794064,0.9325637960575202,0.0418675922004734,0.9344377065014564,0.037492083576598105,12.638266383999726,2.893857342346995,0.1078874360013287,0.009207954754404904
SKAB,lstm,25,0.9103392800498837,0.04879710320668634,0.9321635131815645,0.09521706052569695,0.8241276719090261,0.10211556746299602,0.8677261227334452,0.07345284217493979,0.9352329775499415,0.035367441446600235,0.936492036767458,0.033540490820510256,13.146938324003713,3.3003016057995604,0.12107161599909882,0.030612480195775386
SKAB,cnn1d,25,0.8880883218957846,0.03967871652637666,0.9020367310761634,0.1015385834379027,0.7890394141711006,0.07777758061419772,0.8354595526230868,0.05333401837443105,0.9033145030111198,0.055551641160390464,0.9073607211747798,0.049046881762964234,10.72297695599962,1.0967010668161932,0.12244824399938803,0.02668914170596765
SKAB,automata,5,0.3952305722700436,0.04475291805979719,0.3645698998453011,0.00832612926879712,0.9212848058072775,0.10902498090359651,0.5210612626847329,0.019114896222847167,0.4522246841064389,0.05807437798139993,0.3503419913338578,0.02209405837494032,1.1024112200015224,0.13365928828919793,0.1999409800046123,0.004749757584709008
