dataset,window_size,alphabet_size,run_count,f1_score_mean,f1_score_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,training_seconds_mean,training_seconds_std,inference_seconds_mean,inference_seconds_std,state_count_mean,state_count_std,observed_transition_count_mean,observed_transition_count_std,possible_transition_count_mean,possible_transition_count_std,transition_density_mean,transition_density_std
BATADAL,4.0,3.0,1,0.2797927461139896,0.0,0.8271144278606966,0.0,0.2389380530973451,0.0,0.3375,0.0,0.6095735497237569,0.0,0.1500415424408749,0.0,0.7555458000279032,0.0,0.076374800002668,0.0,77.0,0.0,568.0,0.0,5929.0,0.0,0.0958003035925113,0.0
BATADAL,4.0,5.0,1,0.2207505518763796,0.0,0.5609452736318408,0.0,0.1340482573726541,0.0,0.625,0.0,0.5365245165745857,0.0,0.112449091544431,0.0,0.8068209000048228,0.0,0.3152815999928862,0.0,383.0,0.0,1342.0,0.0,146689.0,0.0,0.009148606916674,0.0
BATADAL,6.0,3.0,1,0.2184466019417475,0.0,0.599502487562189,0.0,0.1355421686746988,0.0,0.5625,0.0,0.5717023480662984,0.0,0.1217463332993066,0.0,1.0633387000416403,0.0,0.6871066000312567,0.0,441.0,0.0,1369.0,0.0,194481.0,0.0,0.007039248049938,0.0
BATADAL,5.0,5.0,1,0.2075471698113207,0.0,0.373134328358209,0.0,0.118705035971223,0.0,0.825,0.0,0.5184910220994475,0.0,0.1080096423186931,0.0,2.5407685000100173,0.0,2.92580700002145,0.0,933.0,0.0,1913.0,0.0,870489.0,0.0,0.0021976153633187,0.0
BATADAL,6.0,4.0,1,0.202572347266881,0.0,0.3830845771144278,0.0,0.1162361623616236,0.0,0.7875,0.0,0.5157890193370166,0.0,0.1107060950236502,0.0,3.901245900022332,0.0,5.317294300009962,0.0,940.0,0.0,1897.0,0.0,883600.0,0.0,0.0021468990493435,0.0
BATADAL,4.0,6.0,1,0.1924050632911392,0.0,0.6032338308457711,0.0,0.1206349206349206,0.0,0.475,0.0,0.5771149861878453,0.0,0.121358015983745,0.0,1.069154000026174,0.0,0.7853663999703713,0.0,629.0,0.0,1693.0,0.0,395641.0,0.0,0.0042791318392178,0.0
BATADAL,6.0,5.0,1,0.1912350597609561,0.0,0.2425373134328358,0.0,0.1069836552748885,0.0,0.9,0.0,0.4644595994475138,0.0,0.0981030552797804,0.0,10.4356364000123,0.0,12.2482122000074,0.0,1427.0,0.0,2201.0,0.0,2036329.0,0.0,0.0010808665986684,0.0
BATADAL,3.0,3.0,1,0.182716049382716,0.0,0.1766169154228855,0.0,0.1013698630136986,0.0,0.925,0.0,0.5400293508287293,0.0,0.1082001421293506,0.0,0.50320560002001,0.0,0.0369676999980583,0.0,26.0,0.0,174.0,0.0,676.0,0.0,0.257396449704142,0.0
BATADAL,4.0,4.0,1,0.1818181818181818,0.0,0.6753731343283582,0.0,0.1213389121338912,0.0,0.3625,0.0,0.5417904005524863,0.0,0.1130139176645154,0.0,0.7884683000156656,0.0,0.1002483000047504,0.0,210.0,0.0,1070.0,0.0,44100.0,0.0,0.0242630385487528,0.0
BATADAL,6.0,6.0,1,0.1802469135802469,0.0,0.1741293532338308,0.0,0.1,0.0,0.9125,0.0,0.4809823895027624,0.0,0.0969525984984124,0.0,16.097852999984752,0.0,18.163903199951164,0.0,1794.0,0.0,2288.0,0.0,3218436.0,0.0,0.0007109043025867,0.0
BATADAL,3.0,5.0,1,0.1789473684210526,0.0,0.8059701492537313,0.0,0.1545454545454545,0.0,0.2125,0.0,0.5472375690607736,0.0,0.1205462222037111,0.0,0.8155917000258341,0.0,0.0547807000111788,0.0,115.0,0.0,631.0,0.0,13225.0,0.0,0.0477126654064272,0.0
BATADAL,5.0,6.0,1,0.1679012345679012,0.0,0.5808457711442786,0.0,0.1046153846153846,0.0,0.425,0.0,0.5420148480662983,0.0,0.122853185681532,0.0,5.501802999991924,0.0,6.246731999970507,0.0,1296.0,0.0,2138.0,0.0,1679616.0,0.0,0.0012729099984758,0.0
BATADAL,3.0,4.0,1,0.1581920903954802,0.0,0.8146766169154229,0.0,0.1443298969072164,0.0,0.175,0.0,0.6214865331491712,0.0,0.1425966362765224,0.0,0.815132400020957,0.0,0.0457775000249967,0.0,60.0,0.0,359.0,0.0,3600.0,0.0,0.0997222222222222,0.0
BATADAL,5.0,3.0,1,0.1561338289962825,0.0,0.7176616915422885,0.0,0.1111111111111111,0.0,0.2625,0.0,0.5792558701657458,0.0,0.1198188716478235,0.0,0.8918526999768801,0.0,0.1172441000235267,0.0,200.0,0.0,933.0,0.0,40000.0,0.0,0.023325,0.0
BATADAL,5.0,4.0,1,0.0903225806451612,0.0,0.8246268656716418,0.0,0.0933333333333333,0.0,0.0875,0.0,0.5460549033149171,0.0,0.1110943453713141,0.0,0.977363099984359,0.0,0.9353294000029564,0.0,535.0,0.0,1521.0,0.0,286225.0,0.0,0.0053140012228142,0.0
BATADAL,3.0,6.0,1,0.0512820512820512,0.0,0.8619402985074627,0.0,0.081081081081081,0.0,0.0375,0.0,0.6042213397790055,0.0,0.1388849321151489,0.0,0.8106858999817632,0.0,0.0680715000489726,0.0,186.0,0.0,918.0,0.0,34596.0,0.0,0.0265348595213319,0.0
SKAB,6.0,4.0,5,0.5410953752599051,0.012106050052356841,0.41204058697946133,0.0466576258568659,0.3764794489647213,0.01501215686049887,0.9661597876369565,0.0567959375470832,0.46626549363872344,0.03652235604836991,0.3555030552238837,0.025583562954719096,2.0042089599999597,0.3092758737771189,0.5468102800077759,0.367294104280684,194.8,36.11370930823916,1096.2,151.02218380092376,38990.4,15506.676297646765,0.030396815807829797,0.008265212367755244
SKAB,5.0,4.0,5,0.5404177555419842,0.010658290825724245,0.4128148426258269,0.04632598953745769,0.37645127820568886,0.014385940665029616,0.962440055171561,0.05996115150562206,0.476421220254149,0.04142698508211272,0.36605895932625143,0.03081587154847035,1.6668580000055955,0.1359270777390688,0.29099428000627087,0.1025010882164908,102.2,15.738487856207787,625.2,74.15996224378758,10643.0,3421.62731752013,0.06254806647033426,0.016991528612720054
SKAB,4.0,4.0,5,0.537801297811183,0.010334097957302349,0.4124990424882589,0.044223243001119225,0.37534922040515734,0.012502933881162446,0.953646322868504,0.06929550683506827,0.47170683944917313,0.03957922069026512,0.359400435281594,0.023127479858572424,1.2236049399944022,0.07675680848613893,0.22162900000112126,0.04719812828838169,53.0,6.2048368229954285,345.0,23.42007685726074,2839.8,662.5471303990381,0.12611275165854227,0.02570048245712616
SKAB,3.0,5.0,5,0.537006396400383,0.011463335469276005,0.40584196158513997,0.04968412558248704,0.3735451816334111,0.011297645047897506,0.9617099808888051,0.08201886530194526,0.471609857263248,0.08741692844981788,0.35877933221770136,0.05315268451089568,0.9795683599892072,0.05257230419413521,0.18513677999144418,0.003854427906730478,33.6,4.33589667773576,172.2,15.336231610144653,1144.0,301.87414596152485,0.15614448302469133,0.028694036365926604
SKAB,4.0,5.0,5,0.5347622992638073,0.010302188748012588,0.3765105603872988,0.02640943482072823,0.36514667643156795,0.009745464136704208,0.9990981924831491,0.0014262143919224945,0.4470460553784049,0.08769756383102935,0.34694639981887937,0.04566243764070322,1.5368756400072017,0.14809718143090114,0.21599513998953626,0.031538767555204586,74.6,11.970797801316337,468.4,52.96036253652349,5679.8,1936.0125774384835,0.08675853674465465,0.01674185313069622
